grid,grid_label,series_kind,agent,version,variant,map_name,source_path,checkpoint_steps,mean_win_rate_percent,ci95_low_percent,ci95_high_percent,min_win_rate_percent,max_win_rate_percent,std_win_rate_percent,training_seed_count,evaluation_episodes,notes
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1500000,24.375,,,0.0,56.25,20.300477,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1550000,31.875,,,0.0,50.0,19.565595,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1600000,15.625,,,0.0,37.5,18.75,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1650000,18.75,,,3.125,37.5,12.5,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1700000,17.5,,,0.0,50.0,20.563355,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1750000,8.75,,,0.0,21.875,8.671523,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1800000,28.125,,,0.0,65.625,33.219206,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1850000,30.625,,,18.75,43.75,11.136581,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1900000,35.625,,,0.0,75.0,28.003209,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,1950000,26.25,,,0.0,53.125,19.465514,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,QMIX,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,2000000,11.875,,,0.0,37.5,15.051993,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,50688,10.625,,,0.0,31.25,12.022115,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,101376,18.125,,,0.0,40.625,17.17329,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,150528,7.5,,,0.0,15.625,7.19429,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,201216,12.5,,,0.0,34.375,14.490029,5,,Mean across eligible training seeds at this checkpoint.
